img,buses,my_route_avg,my_route_buses,my_route_duration,gtfs_route_avg,gtfs_route_buses,gtfs_route_duration,no_bus_equal_trips,total_trips
2273.png,7,1238.5849777727549,85,4121.043881856541,1710.4831796413498,61,2323.9822784810126,15,100
2277.png,7,1165.8956628842677,81,4121.043881856541,1523.7579382911395,61,2323.9822784810126,19,100
2278.png,7,1194.2898955394817,83,4121.043881856541,1560.850524367088,62,2323.9822784810126,17,100
2284.png,7,1123.659570629898,79,4121.043881856541,1452.574323417722,61,2323.9822784810126,21,100
2291.png,7,1353.4856952833031,31,856.0561181434598,1317.1253874924657,31,2695.3240506329116,49,100
2292.png,7,1454.788338908982,56,4307.087552742616,1403.4588038426766,57,3092.585443037975,33,100
2303.png,7,1601.9138701024715,58,1548.6829113924048,1556.0333431283902,58,3175.564978902954,28,100
2315.png,7,1467.6703974532854,39,789.4886075949366,1369.7926704792042,53,2396.8748945147677,39,100
2319.png,7,1603.9496855635923,57,5098.675527426159,1652.2902212628094,50,3147.387341772151,36,100
2320.png,7,1461.521371262809,56,4793.054008438819,1612.1539934900536,40,1905.2364978902951,35,100
233.png,7,1581.5756218957204,55,1432.643248945148,1589.8402856841474,47,1900.9493670886075,35,100
2337.png,7,1908.8753143459926,38,1280.4786919831222,1754.3790375226038,51,3516.856540084388,27,100
2338.png,7,1748.0827352169983,43,7249.853164556964,1641.176581555154,48,3216.2848101265818,36,100
2345.png,7,1780.8655371609402,34,1591.3637130801685,1572.2185735834835,64,4130.487130801689,26,100
2350.png,7,1663.1513777275466,37,3223.9080168776372,1673.1143610759493,35,1522.4675105485233,56,100
2353.png,7,1825.155386181435,62,2722.100421940928,1887.1949574291743,58,2000.3656118143458,27,100
2360.png,7,2146.1902191229647,57,4688.194303797469,2092.5487837251353,55,3717.8867088607594,21,100
2361.png,7,1796.307639285714,51,3774.7959915611823,1821.3616565852922,49,3272.60970464135,37,100
2363.png,7,1745.903467842074,40,3888.910337552743,1595.1408528028935,54,2232.151898734177,36,100
2375.png,7,1625.3871767179025,58,1405.4856540084386,1673.5575251054852,37,2905.3012658227844,29,100
2377.png,7,1671.5293010247137,66,3607.7772151898744,1559.3962502260395,62,2505.4888185654004,27,100
2381.png,7,1640.671890039181,42,2199.249156118143,1572.6251266425556,72,2901.066666666667,19,100
240.png,7,1354.7889481916818,35,1079.937974683544,1269.307260367691,52,4779.811392405063,33,100
2411.png,7,2201.3108067510548,58,5180.209704641348,2396.1401321729954,43,2719.337552742616,40,100
2422.png,7,2458.037588788427,29,2971.726793248945,2504.051585608801,13,3373.468565400843,66,100
2427.png,7,2075.736127320675,53,3030.161181434599,2279.0461448312235,37,4194.875527426161,36,100
2462.png,7,1744.798736708861,38,5246.564978902953,1874.8511940626881,20,3275.1691983122355,58,100
2474.png,7,1036.4866871308016,53,1725.3508438818567,968.6308169228449,50,1778.5658227848105,41,100
2476.png,7,1455.334783951175,37,3720.481012658228,1498.3923459915613,28,1768.2803797468355,56,100
2479.png,7,1181.716202712478,10,6857.645780590717,1189.394978089211,12,1717.0590717299576,78,100
2487.png,7,1653.6161616485836,46,7527.155907172994,1683.9794527576857,29,870.114345991561,50,100
2488.png,7,1022.1274445599759,45,702.6090717299578,1116.3186657172992,10,1036.4341772151897,50,100
2492.png,7,1308.2995043701023,71,3451.056540084388,1476.4228028782409,40,2769.5149789029547,22,100
2498.png,7,1432.7185541289928,18,1467.3487341772152,1337.688084674503,46,1523.5715189873415,50,100
2508.png,7,1731.6800527275464,50,4133.179957805907,1581.6645308318268,52,1887.5605485232068,42,100
2510.png,7,1718.0813698915015,38,4187.516033755273,1600.8198009192286,41,2011.3369198312234,48,100
2518.png,7,1853.206565672091,48,4105.786286919832,1858.7924867239303,24,2590.2371308016877,48,100
2533.png,7,1165.0110945449064,46,3186.162025316455,1233.0396626431584,15,1345.1995780590712,54,100
2539.png,7,1720.3482917570818,43,4437.264767932489,1771.0881835593734,10,976.1094936708862,47,100
2540.png,7,1320.2862439572032,40,1756.0928270042193,1313.5119009192283,32,480.10717299578056,51,100
2546.png,7,2089.3338933242912,9,1437.2303797468353,1519.1471112115728,55,1393.086497890295,42,100
2552.png,7,1683.6796077004224,32,3539.093248945147,1610.861984915612,34,2268.7118143459916,51,100
2554.png,7,1671.3495246232667,50,4726.98122362869,1435.8599826552136,73,2267.6371308016883,23,100
2572.png,7,1265.7506258438816,47,1642.1424050632913,1350.558488999397,18,3049.4512658227845,45,100
2574.png,7,752.7847802893316,13,1323.6221518987343,777.1939716244732,7,797.9599156118143,87,100
2575.png,7,1448.1924994273668,29,5805.319831223628,1376.3757987191086,41,1902.6172995780591,49,100
2579.png,7,965.8061443037972,4,686.0088607594937,962.4821116335141,2,1510.131434599156,96,100
2583.png,7,1513.4903551687771,65,3512.040295358649,1736.7905674050637,21,1722.2282700421943,35,100
259.png,7,887.8496272302589,46,5110.944303797469,833.2872393459912,47,2637.5548523206753,45,100
2598.png,7,1302.407304837251,19,1602.0021097046415,1334.4672132308617,2,1429.5426160337552,81,100
2615.png,7,1821.1778286919832,21,8127.957383966244,1853.2841327908382,2,1667.2628691983123,78,100
2617.png,7,1124.7016699367089,46,1052.150210970464,1066.350415536468,41,1103.5227848101265,54,100
2621.png,7,1130.4975227546718,18,5184.068776371308,1182.871151793249,1,687.775105485232,82,100
2647.png,7,1423.339755620856,53,2348.024894514768,1514.8143609553952,4,1601.0175105485234,47,100
2670.png,7,1822.2583927667274,31,3072.317299578059,1765.5612080018086,10,1591.5628691983122,69,100
2672.png,7,1018.8256803044002,51,4293.201687763713,1130.208309011453,12,1404.0632911392404,49,100
270.png,7,1655.598018520193,52,4919.938607594938,1728.8597924050634,56,1618.103164556962,34,100
2702.png,7,906.7421530892103,50,2422.0789029535863,964.6347212477395,38,897.3316455696202,48,100
2711.png,7,2046.3515668173602,63,5145.771097046412,2264.9665522453283,34,965.9476793248945,34,100
2717.png,7,1577.5753776371307,49,2303.985864978903,1709.5514544755874,4,543.1531645569621,51,100
2729.png,7,2262.2467998191687,43,4717.463291139238,2353.271162567812,29,2267.947257383966,51,100
2738.png,7,2140.25761615431,39,3284.5217299578053,1888.2220931886686,54,3985.5362869198307,38,100
2761.png,7,1404.7262434599152,36,4341.620042194091,1510.3247244575043,30,761.7552742616033,53,100
2772.png,7,2600.921850527427,54,3404.1812236286914,2627.671924216396,33,5109.125527426159,42,100
2778.png,7,1796.16004912598,51,1508.8208860759494,1689.5100000753466,62,3066.121729957805,33,100
2783.png,7,1777.230633800482,52,7272.634810126584,1690.181279927668,49,6476.501687763716,44,100
2784.png,7,1772.6254067811935,25,7700.088396624474,1787.561690958409,17,8125.933966244728,66,100
2788.png,7,1463.1845559373119,40,1933.0459915611816,1228.124371579265,64,4397.842827004219,32,100
279.png,7,1798.723471112116,25,9744.623839662445,1625.2755785262207,47,1913.0888185654005,46,100
2790.png,7,2255.4750489903554,44,692.3805907172996,1652.6475751959003,71,5748.539240506327,22,100
28.png,7,2036.4504272001202,53,1450.0109704641347,2112.73149556962,42,3714.1124472573833,38,100
2831.png,7,1988.588172046414,51,2004.4455696202529,2210.227984493671,32,478.5489451476793,40,100
2846.png,7,1586.626049638338,46,2204.9405063291138,1528.0617660337552,43,2339.221308016878,34,100
2852.png,7,2609.6572997136823,41,4840.470886075949,2572.4547264165153,46,2500.9955696202533,33,100
2867.png,7,2340.948664737794,23,3974.8647679324886,2331.4609874321877,27,2189.6379746835446,67,100
2877.png,7,2935.980942872213,38,1586.5917721518986,2759.3431066003604,44,3645.630168776372,46,100
2890.png,7,2727.562872980712,32,1139.1786919831225,2335.0584834990964,53,3596.0856540084387,38,100
2896.png,7,1490.1587469710676,31,2427.295991561182,1488.0239404912602,31,1458.4402953586496,59,100
292.png,7,1697.8457413954184,47,986.7540084388183,1744.4252589662442,56,1664.853375527426,36,100
2920.png,7,1582.1194303797465,56,3186.6713080168774,1728.8297422694397,60,5192.796624472575,24,100
2931.png,7,2037.1866861663657,51,5056.710126582278,1924.7662375527427,63,3597.6957805907173,29,100
2932.png,7,1722.0939340717305,47,7521.7335443037955,1581.073848297167,58,2289.8035864978897,32,100
