img,avg_stop_distance
137.jpg,216.76602030881335
138.jpg,703.6030222690845
139.jpg,799.9025594077855
140.jpg,281.22072037487646
141.jpg,291.9248843529913
142.jpg,249.1896198472175
143.jpg,196.25854988785466
144.jpg,274.0611172969069
145.jpg,301.5437298966928
146.jpg,1280.2791960571778
147.jpg,856.5915768772674
148.jpg,2025.858449496947
149.jpg,364.3296509264886
150.jpg,339.7475500327079
151.jpg,277.6317741446072
152.jpg,221.1047712268801
153.jpg,293.00867565364507
154.jpg,232.3880643991688
155.jpg,267.11025521934954
156.jpg,232.31451167215087
157.jpg,326.5126053816712
158.jpg,442.9957528561898
159.jpg,351.43143148198646
160.jpg,351.7703107086285
161.jpg,268.00858096167525
162.jpg,411.51594761667695
163.jpg,439.06139086855745
164.jpg,389.84657563394177
165.jpg,485.09471690705374
166.jpg,654.9394822087361
167.jpg,256.54761306740767
168.jpg,343.6520590665952
169.jpg,355.1653633853518
170.jpg,309.6926779746906
171.jpg,314.6624219793078
172.jpg,333.1592463375465
173.jpg,327.51260474499503
174.jpg,278.981635339152
175.jpg,343.41021174520523
176.jpg,234.20433549950826
177.jpg,284.48181580420146
178.jpg,330.1869883181553
179.jpg,349.87101380540116
180.jpg,324.5528336160227
181.jpg,272.2387513131032
182.jpg,289.52848367272287
183.jpg,584.361064698009
184.jpg,297.95488625154087
185.jpg,210.87953616986368
186.jpg,337.6301673326467
187.jpg,209.07337114924374
188.jpg,234.98279551497947
189.jpg,214.65315999069782
190.jpg,233.75221798344273
191.jpg,239.52232642084113
192.jpg,238.9992046810437
193.jpg,201.09077503915154
194.jpg,274.9408859747896
195.jpg,239.5949172148532
196.jpg,230.36037735355794
197.jpg,318.15263551792145
198.jpg,393.73157297552433
199.jpg,309.0316621286212
200.jpg,353.5680463899222
201.jpg,1037.991860816665
202.jpg,659.4005016642861
203.jpg,281.0739445436032
204.jpg,2134.2916406992576
205.jpg,481.8606936528074
206.jpg,408.8382870083277
207.jpg,872.8066906127186
208.jpg,264.18733734961285
209.jpg,298.32114135504975
210.jpg,304.7769329681039
211.jpg,247.91999134436043
212.jpg,220.48913786399024
213.jpg,275.2340903357551
